Algorithm,RMSE,MAPE,Predictions (First 10)
first_algo,1.5123,48.1895,"4.4720, 4.3147, 4.3147, 4.3147, 4.3147, 4.1438, 4.2122, 4.2122, 4.2122, 4.2122"
bsl_algo,1.2479,35.3022,"3.7310, 3.7412, 3.7412, 3.7412, 3.7412, 3.7217, 3.7698, 3.7698, 3.7698, 3.7698"
xgb_bsl,1.5123,48.1895,"4.4720, 4.3147, 4.3147, 4.3147, 4.3147, 4.1438, 4.2122, 4.2122, 4.2122, 4.2122"
knn_bsl_u,1.2527,35.3625,"3.7310, 3.7718, 3.7718, 3.7718, 3.7718, 3.7489, 3.8808, 3.8808, 3.8808, 3.8808"
knn_bsl_m,1.2474,35.2283,"3.7310, 3.7718, 3.7718, 3.7718, 3.7718, 3.7489, 3.8808, 3.8808, 3.8808, 3.8808"
xgb_knn_bsl,1.4853,46.8373,"4.4979, 4.2046, 4.2046, 4.2046, 4.2046, 4.2592, 4.3066, 4.3066, 4.3066, 4.3066"
svd,1.2542,35.4172,"3.7310, 3.7696, 3.7696, 3.7696, 3.7696, 3.7286, 3.8825, 3.8825, 3.8825, 3.8825"
svdpp,1.2604,35.6138,"3.7310, 3.7681, 3.7681, 3.7681, 3.7681, 3.7548, 3.8879, 3.8879, 3.8879, 3.8879"
xgb_final,1.4788,46.1398,"4.5954, 4.3149, 4.3149, 4.3149, 4.3149, 4.3775, 4.4704, 4.4704, 4.4704, 4.4704"
xgb_all_models,1.4571,35.8688,"2.0644, 3.1599, 3.1599, 3.1599, 3.1599, 1.8054, 3.6012, 3.6012, 3.6012, 3.6012"
